Date,Collected?,Depth_type,Depth_(cm),# Victorian Alpine Resorts - Daily Snow Depth Records - Lake Mountain 1993-2023. CC-BY Alpine Resorts Victoria
19/7/1996,Yes,Natural,7,
20/7/1996,Yes,Natural,2,
21/7/1996,Yes,Natural,10,
22/7/1996,Yes,Natural,10,
23/7/1996,Yes,Natural,10,
24/7/1996,Yes,Natural,8,
25/7/1996,Yes,Natural,7,
26/7/1996,Yes,Natural,7,
27/7/1996,Yes,Natural,6,
28/7/1996,Yes,Natural,5,
29/7/1996,Yes,Natural,5,
30/7/1996,Yes,Natural,5,
31/7/1996,Yes,Natural,5,
1/8/1996,Yes,Natural,5,
2/8/1996,Yes,Natural,4,
3/8/1996,Yes,Natural,4,
4/8/1996,Yes,Natural,5,
5/8/1996,Yes,Natural,5,
6/8/1996,Yes,Natural,5,
7/8/1996,Yes,Natural,18,
8/8/1996,Yes,Natural,30,
9/8/1996,Yes,Natural,32,
10/8/1996,Yes,Natural,30,
11/8/1996,Yes,Natural,30,
12/8/1996,Yes,Natural,26,
13/8/1996,Yes,Natural,25,
14/8/1996,Yes,Natural,23,
15/8/1996,Yes,Natural,23,
16/8/1996,Yes,Natural,18,
17/8/1996,Yes,Natural,18,
18/8/1996,Yes,Natural,22,
19/8/1996,Yes,Natural,27,
20/8/1996,Yes,Natural,28,
21/8/1996,Yes,Natural,28,
22/8/1996,Yes,Natural,25,
23/8/1996,Yes,Natural,22,
24/8/1996,Yes,Natural,20,
25/8/1996,Yes,Natural,15,
26/8/1996,Yes,Natural,12,
27/8/1996,Yes,Natural,11,
28/8/1996,Yes,Natural,10,
29/8/1996,Yes,Natural,8,
30/8/1996,Yes,Natural,8,
31/8/1996,Yes,Natural,7,
1/9/1996,Yes,Natural,7,
2/9/1996,Yes,Natural,7,
3/9/1996,Yes,Natural,10,
4/9/1996,Yes,Natural,8,
5/9/1996,Yes,Natural,7,
6/9/1996,Yes,Natural,7,
7/9/1996,Yes,Natural,10,
8/9/1996,Yes,Natural,8,
9/9/1996,Yes,Natural,5,
10/9/1996,Yes,Natural,7,
11/9/1996,Yes,Natural,10,
12/9/1996,Yes,Natural,8,
13/9/1996,Yes,Natural,20,
14/9/1996,Yes,Natural,33,
15/9/1996,Yes,Natural,32,
16/9/1996,Yes,Natural,20,
17/9/1996,Yes,Natural,15,
18/9/1996,Yes,Natural,10,
19/9/1996,Yes,Natural,10,
20/9/1996,Yes,Natural,7,
21/9/1996,Yes,Natural,10,
22/9/1996,Yes,Natural,10,
23/9/1996,Yes,Natural,8,
24/9/1996,Yes,Natural,8,
25/9/1996,Yes,Natural,9,
26/9/1996,Yes,Natural,5,
27/9/1996,Yes,Natural,8,
28/9/1996,Yes,Natural,7,
29/9/1996,Yes,Natural,5,
30/9/1996,Yes,Natural,5,
1/10/1996,Yes,Natural,7,
2/10/1996,Yes,Natural,8,
3/10/1996,Yes,Natural,6,
4/10/1996,Yes,Natural,0,
5/10/1996,Yes,Natural,0,
6/10/1996,Yes,Natural,0,
7/10/1996,Yes,Natural,0,
8/10/1996,No,,,
9/10/1996,No,,,
5/6/1997,Yes,Natural,0,
6/6/1997,Yes,Natural,0,
7/6/1997,Yes,Natural,0,
8/6/1997,Yes,Natural,0,
9/6/1997,Yes,Natural,0,
10/6/1997,Yes,Natural,0,
11/6/1997,Yes,Natural,0,
12/6/1997,Yes,Natural,0,
13/6/1997,Yes,Natural,0,
14/6/1997,Yes,Natural,8,
15/6/1997,Yes,Natural,13,
16/6/1997,Yes,Natural,12,
17/6/1997,Yes,Natural,10,
18/6/1997,Yes,Natural,9,
