Date,Collected?,Depth_type,Depth_(cm),,
2/8/1996,Yes,Natural,60,,
3/8/1996,Yes,Natural,65,,
4/8/1996,Yes,Natural,73,,
5/8/1996,Yes,Natural,80,,
6/8/1996,Yes,Natural,82,,
7/8/1996,Yes,Natural,100,,
8/8/1996,Yes,Natural,105,,
9/8/1996,Yes,Natural,109,,
10/8/1996,Yes,Natural,107,,
11/8/1996,Yes,Natural,105,,
12/8/1996,Yes,Natural,103,,
13/8/1996,Yes,Natural,99,,
14/8/1996,Yes,Natural,90,,
15/8/1996,Yes,Natural,90,,
16/8/1996,Yes,Natural,90,,
17/8/1996,Yes,Natural,90,,
18/8/1996,Yes,Natural,100,,
19/8/1996,Yes,Natural,108,,
20/8/1996,Yes,Natural,108,,
21/8/1996,Yes,Natural,108,,
22/8/1996,Yes,Natural,109,,
23/8/1996,Yes,Natural,110,,
24/8/1996,Yes,Natural,115,,
25/8/1996,Yes,Natural,115,,
26/8/1996,Yes,Natural,110,,
27/8/1996,Yes,Natural,105,,
28/8/1996,Yes,Natural,100,,
29/8/1996,Yes,Natural,95,,
30/8/1996,Yes,Natural,95,,
31/8/1996,Yes,Natural,93,,
1/9/1996,Yes,Natural,93,,
2/9/1996,Yes,Natural,93,,
3/9/1996,Yes,Natural,93,,
4/9/1996,Yes,Natural,93,,
5/9/1996,Yes,Natural,93,,
6/9/1996,Yes,Natural,97,,
7/9/1996,Yes,Natural,98,,
8/9/1996,Yes,Natural,98,,
9/9/1996,Yes,Natural,98,,
10/9/1996,Yes,Natural,108,,
11/9/1996,Yes,Natural,100,,
12/9/1996,Yes,Natural,97,,
13/9/1996,Yes,Natural,110,,
14/9/1996,Yes,Natural,132,,
15/9/1996,Yes,Natural,132,,
16/9/1996,Yes,Natural,124,,
17/9/1996,Yes,Natural,120,,
18/9/1996,Yes,Natural,112,,
19/9/1996,Yes,Natural,102,,
20/9/1996,Yes,Natural,102,,
21/9/1996,Yes,Natural,104,,
22/9/1996,Yes,Natural,100,,
23/9/1996,Yes,Natural,95,,
24/9/1996,Yes,Natural,90,,
25/9/1996,Yes,Natural,85,,
26/9/1996,Yes,Natural,85,,
27/9/1996,Yes,Natural,75,,
28/9/1996,Yes,Natural,50,,
29/9/1996,Yes,Natural,62,,
30/9/1996,Yes,Natural,52,,
1/10/1996,Yes,Natural,70,,
2/10/1996,Yes,Natural,77,,
3/10/1996,Yes,Natural,75,,
4/10/1996,Yes,Natural,75,,
5/10/1996,Yes,Natural,70,,
6/10/1996,Yes,Natural,55,,
7/10/1996,Yes,Natural,55,,
8/10/1996,No,,,,
9/10/1996,No,,,,
5/6/1997,Yes,Natural,0,,
6/6/1997,Yes,Natural,0,,
7/6/1997,Yes,Natural,0,,
8/6/1997,Yes,Natural,0,,
9/6/1997,Yes,Natural,0,,
10/6/1997,Yes,Natural,10,,
11/6/1997,Yes,Natural,0,,
12/6/1997,Yes,Natural,0,,
13/6/1997,Yes,Natural,0,,
14/6/1997,Yes,Natural,9,,
15/6/1997,Yes,Natural,12,,
16/6/1997,Yes,Natural,12,,
17/6/1997,Yes,Natural,12,,
18/6/1997,Yes,Natural,11,,
19/6/1997,Yes,Natural,11,,
20/6/1997,Yes,Natural,11,,
21/6/1997,Yes,Natural,10,,
22/6/1997,Yes,Natural,9,,
23/6/1997,Yes,Natural,9,,
24/6/1997,Yes,Natural,7,,
25/6/1997,Yes,Natural,8,,
26/6/1997,Yes,Natural,8,,
27/6/1997,Yes,Natural,8,,
28/6/1997,Yes,Natural,7,,
29/6/1997,Yes,Natural,7,,
30/6/1997,Yes,Natural,7,,
1/7/1997,Yes,Natural,7,,
2/7/1997,Yes,Natural,7,,
3/7/1997,Yes,Natural,7,,
4/7/1997,Yes,Natural,7,,
5/7/1997,Yes,Natural,7,,
6/7/1997,Yes,Natural,7,,
7/7/1997,Yes,Natural,7,,
8/7/1997,Yes,Natural,7,,
9/7/1997,Yes,Natural,12,,
10/7/1997,Yes,Natural,18,,
11/7/1997,Yes,Natural,18,,
12/7/1997,Yes,Natural,18,,
13/7/1997,Yes,Natural,18,,
14/7/1997,Yes,Natural,18,,
15/7/1997,Yes,Natural,18,,
16/7/1997,Yes,Natural,24,,
17/7/1997,Yes,Natural,25,,
18/7/1997,Yes,Natural,25,,
19/7/1997,Yes,Natural,25,,
20/7/1997,Yes,Natural,23,,
21/7/1997,Yes,Natural,22,,
22/7/1997,Yes,Natural,22,,
23/7/1997,Yes,Natural,22,,
24/7/1997,Yes,Natural,20,,
25/7/1997,Yes,Natural,20,,
26/7/1997,Yes,Natural,19,,
27/7/1997,Yes,Natural,16,,
28/7/1997,Yes,Natural,16,,
29/7/1997,Yes,Natural,19,,
30/7/1997,Yes,Natural,19,,
31/7/1997,Yes,Natural,19,,
1/8/1997,Yes,Natural,19,,
2/8/1997,Yes,Natural,18,,
3/8/1997,Yes,Natural,18,,
4/8/1997,Yes,Natural,18,,
5/8/1997,Yes,Natural,18,,
6/8/1997,Yes,Natural,18,,
7/8/1997,Yes,Natural,16,,
8/8/1997,Yes,Natural,40,,
9/8/1997,Yes,Natural,47,,
10/8/1997,Yes,Natural,47,,
11/8/1997,Yes,Natural,47,,
12/8/1997,Yes,Natural,54,,
13/8/1997,Yes,Natural,54,,
14/8/1997,Yes,Natural,57,,
15/8/1997,Yes,Natural,58,,
16/8/1997,Yes,Natural,58,,
17/8/1997,Yes,Natural,58,,
18/8/1997,Yes,Natural,60,,
19/8/1997,Yes,Natural,60,,
20/8/1997,Yes,Natural,60,,
21/8/1997,Yes,Natural,60,,
22/8/1997,Yes,Natural,58,,
23/8/1997,Yes,Natural,57,,
24/8/1997,Yes,Natural,70,,
25/8/1997,Yes,Natural,70,,
26/8/1997,Yes,Natural,74,,
27/8/1997,Yes,Natural,74,,
28/8/1997,Yes,Natural,74,,
29/8/1997,Yes,Natural,74,,
30/8/1997,Yes,Natural,74,,
31/8/1997,Yes,Natural,74,,
1/9/1997,Yes,Natural,60,,
2/9/1997,Yes,Natural,58,,
3/9/1997,Yes,Natural,50,,
4/9/1997,Yes,Natural,47,,
5/9/1997,Yes,Natural,47,,
6/9/1997,Yes,Natural,45,,
7/9/1997,Yes,Natural,40,,
8/9/1997,Yes,Natural,40,,
9/9/1997,Yes,Natural,38,,
10/9/1997,Yes,Natural,37,,
11/9/1997,Yes,Natural,36,,
12/9/1997,Yes,Natural,34,,
13/9/1997,Yes,Natural,32,,
14/9/1997,Yes,Natural,32,,
15/9/1997,Yes,Natural,30,,
16/9/1997,Yes,Natural,28,,
17/9/1997,Yes,Natural,28,,
18/9/1997,Yes,Natural,20,,
19/9/1997,Yes,Natural,27,,
20/9/1997,Yes,Natural,23,,
21/9/1997,Yes,Natural,22,,
22/9/1997,Yes,Natural,22,,
23/9/1997,Yes,Natural,21,,
24/9/1997,Yes,Natural,20,,
25/9/1997,Yes,Natural,19,,
26/9/1997,Yes,Natural,18,,
27/9/1997,Yes,Natural,18,,
28/9/1997,Yes,Natural,17,,
29/9/1997,Yes,Natural,16,,
30/9/1997,Yes,Natural,10,,
1/10/1997,Yes,Natural,10,,
2/10/1997,Yes,Natural,10,,
3/10/1997,Yes,Natural,10,,
4/10/1997,Yes,Natural,10,,
5/10/1997,Yes,Natural,10,,
6/10/1997,Yes,Natural,10,,
7/10/1997,Yes,Natural,10,,
8/10/1997,No,,,,
9/10/1997,No,,,,
5/6/1998,Yes,Natural,0,,
6/6/1998,Yes,Natural,0,,
7/6/1998,Yes,Natural,0,,
8/6/1998,Yes,Natural,5,,
9/6/1998,Yes,Natural,0,,
10/6/1998,Yes,Natural,0,,
11/6/1998,Yes,Natural,0,,
12/6/1998,Yes,Natural,0,,
13/6/1998,Yes,Natural,4,,
14/6/1998,Yes,Natural,4,,
15/6/1998,Yes,Natural,4,,
16/6/1998,Yes,Natural,6,,
17/6/1998,Yes,Natural,6,,
18/6/1998,Yes,Natural,7,,
19/6/1998,Yes,Natural,7,,
20/6/1998,Yes,Natural,7,,
21/6/1998,Yes,Natural,5,,
22/6/1998,Yes,Natural,4,,
23/6/1998,Yes,Natural,8,,
24/6/1998,Yes,Natural,15,,
25/6/1998,Yes,Natural,27,,
26/6/1998,Yes,Natural,26,,
27/6/1998,Yes,Natural,25,,
28/6/1998,Yes,Natural,25,,
29/6/1998,Yes,Natural,27,,
30/6/1998,Yes,Natural,27,,
1/7/1998,Yes,Natural,27,,
2/7/1998,Yes,Natural,27,,
3/7/1998,Yes,Natural,25,,
4/7/1998,Yes,Natural,27,,
5/7/1998,Yes,Natural,20,,
6/7/1998,Yes,Natural,5,,
7/7/1998,Yes,Natural,5,,
8/7/1998,Yes,Natural,6,,
9/7/1998,Yes,Natural,21,,
10/7/1998,Yes,Natural,32,,
11/7/1998,Yes,Natural,32,,
12/7/1998,Yes,Natural,32,,
13/7/1998,Yes,Natural,32,,
14/7/1998,Yes,Natural,32,,
15/7/1998,Yes,Natural,32,,
16/7/1998,Yes,Natural,31,,
17/7/1998,Yes,Natural,30,,
18/7/1998,Yes,Natural,30,,
19/7/1998,Yes,Natural,30,,
20/7/1998,Yes,Natural,30,,
21/7/1998,Yes,Natural,27,,
22/7/1998,Yes,Natural,29,,
