Product code,Bureau of Meteorology station number,Year,Month,min_t_(C),Quality
IDCJAC0004,083024,2014,05,1.8,Y
IDCJAC0004,083024,2014,06,-0.7,Y
IDCJAC0004,083024,2014,07,-2.2,Y
IDCJAC0004,083024,2014,08,-2.2,Y
IDCJAC0004,083024,2014,09,0.1,Y
IDCJAC0004,083024,2014,10,3.4,Y
IDCJAC0004,083024,2014,11,6,Y
IDCJAC0004,083024,2014,12,6.5,Y
IDCJAC0004,083024,2015,01,8.1,Y
IDCJAC0004,083024,2015,02,10.3,Y
IDCJAC0004,083024,2015,03,4.8,Y
IDCJAC0004,083024,2015,04,2.8,Y
IDCJAC0004,083024,2015,05,0.9,Y
IDCJAC0004,083024,2015,06,-1.5,Y
IDCJAC0004,083024,2015,07,-3.8,Y
IDCJAC0004,083024,2015,08,-3,Y
IDCJAC0004,083024,2015,09,-0.8,Y
IDCJAC0004,083024,2015,10,6.2,Y
IDCJAC0004,083024,2015,11,5.2,Y
IDCJAC0004,083024,2015,12,8,Y
IDCJAC0004,083024,2016,01,9.3,Y
IDCJAC0004,083024,2016,02,9.2,Y
IDCJAC0004,083024,2016,03,9.4,Y
IDCJAC0004,083024,2016,04,5.5,Y
IDCJAC0004,083024,2016,05,0.6,Y
IDCJAC0004,083024,2016,06,-1.1,Y
IDCJAC0004,083024,2016,07,-1.7,Y
IDCJAC0004,083024,2016,08,-2.4,Y
IDCJAC0004,083024,2016,09,-0.3,Y
IDCJAC0004,083024,2016,10,-1,Y
IDCJAC0004,083024,2016,11,3.4,Y
IDCJAC0004,083024,2016,12,7.8,Y
IDCJAC0004,083024,2017,01,10.3,Y
IDCJAC0004,083024,2017,02,7.9,Y
IDCJAC0004,083024,2017,03,9,Y
IDCJAC0004,083024,2017,04,3.2,Y
IDCJAC0004,083024,2017,05,0.7,Y
IDCJAC0004,083024,2017,06,-1.3,Y
IDCJAC0004,083024,2017,07,-3.1,Y
IDCJAC0004,083024,2017,08,-3.2,Y
IDCJAC0004,083024,2017,09,-1.9,Y
IDCJAC0004,083024,2017,10,2.7,Y
IDCJAC0004,083024,2017,11,6.2,Y
IDCJAC0004,083024,2017,12,7.8,Y
IDCJAC0004,083024,2018,01,10.8,Y
IDCJAC0004,083024,2018,02,8.7,Y
IDCJAC0004,083024,2018,03,6.5,Y
IDCJAC0004,083024,2018,04,6.1,Y
IDCJAC0004,083024,2018,05,0.8,Y
IDCJAC0004,083024,2018,06,-1.9,Y
IDCJAC0004,083024,2018,07,-3.2,Y
IDCJAC0004,083024,2018,08,-4,Y
IDCJAC0004,083024,2018,09,-2,Y
IDCJAC0004,083024,2018,10,3.2,Y
IDCJAC0004,083024,2018,11,4,Y
IDCJAC0004,083024,2018,12,9,Y
IDCJAC0004,083024,2019,01,13.2,Y
IDCJAC0004,083024,2019,02,8.6,Y
IDCJAC0004,083024,2019,03,6.9,Y
IDCJAC0004,083024,2019,04,4.9,Y
IDCJAC0004,083024,2019,05,0.5,Y
IDCJAC0004,083024,2019,06,-1.5,Y
IDCJAC0004,083024,2019,07,-2.2,Y
IDCJAC0004,083024,2019,08,-3.5,Y
IDCJAC0004,083024,2019,09,-1.3,Y
IDCJAC0004,083024,2019,10,2.6,Y
IDCJAC0004,083024,2019,11,3.1,Y
IDCJAC0004,083024,2019,12,8.8,Y
IDCJAC0004,083024,2020,01,9.5,Y
IDCJAC0004,083024,2020,02,8.1,Y
IDCJAC0004,083024,2020,03,5.8,Y
IDCJAC0004,083024,2020,04,2.6,Y
IDCJAC0004,083024,2020,05,-0.4,Y
IDCJAC0004,083024,2020,06,-1.1,Y
IDCJAC0004,083024,2020,07,-1.2,Y
IDCJAC0004,083024,2020,08,-2.7,Y
IDCJAC0004,083024,2020,09,0.5,Y
IDCJAC0004,083024,2020,10,3.2,Y
IDCJAC0004,083024,2020,11,6.6,Y
IDCJAC0004,083024,2020,12,5.3,Y
IDCJAC0004,083024,2021,01,8.9,Y
IDCJAC0004,083024,2021,02,7.5,Y
IDCJAC0004,083024,2021,03,5.5,Y
IDCJAC0004,083024,2021,04,3.1,Y
IDCJAC0004,083024,2021,05,1,Y
IDCJAC0004,083024,2021,06,-1.2,Y
IDCJAC0004,083024,2021,07,-2.9,Y
IDCJAC0004,083024,2021,08,-2,Y
IDCJAC0004,083024,2021,09,-0.4,Y
IDCJAC0004,083024,2021,10,0.4,Y
IDCJAC0004,083024,2021,11,3.4,Y
IDCJAC0004,083024,2021,12,7,Y
IDCJAC0004,083024,2022,01,11.2,Y
IDCJAC0004,083024,2022,02,8.1,Y
IDCJAC0004,083024,2022,03,7.5,Y
IDCJAC0004,083024,2022,04,4.4,Y
IDCJAC0004,083024,2022,05,0.9,Y
IDCJAC0004,083024,2022,06,-2.6,Y
IDCJAC0004,083024,2022,07,-2.4,Y
IDCJAC0004,083024,2022,08,-1.9,Y
IDCJAC0004,083024,2022,09,-0.8,Y
IDCJAC0004,083024,2022,10,2.1,Y
IDCJAC0004,083024,2022,11,1.4,Y
IDCJAC0004,083024,2022,12,5.2,Y
IDCJAC0004,083024,2023,01,9.6,Y
IDCJAC0004,083024,2023,02,8.1,Y
IDCJAC0004,083024,2023,03,6.7,Y
IDCJAC0004,083024,2023,04,3.1,Y
IDCJAC0004,083024,2023,05,-1.1,Y
IDCJAC0004,083024,2023,06,-1.1,Y
IDCJAC0004,083024,2023,07,-1.1,Y
IDCJAC0004,083024,2023,08,-0.7,Y
IDCJAC0004,083024,2023,09,2,Y
IDCJAC0004,083024,2023,10,1,Y
IDCJAC0004,083024,2023,11,6.3,Y
IDCJAC0004,083024,2023,12,7.7,Y
IDCJAC0004,083024,2024,01,9.3,Y
IDCJAC0004,083024,2024,02,10,Y
IDCJAC0004,083024,2024,03,8.8,Y
IDCJAC0004,083024,2024,04,3.1,Y
IDCJAC0004,083024,2024,05,1.9,Y
IDCJAC0004,083024,2024,06,-2.2,Y
IDCJAC0004,083024,2024,07,-2.8,Y
IDCJAC0004,083024,2024,08,0.2,Y
IDCJAC0004,083024,2024,09,-1,Y
IDCJAC0004,083024,2024,10,2.9,Y
IDCJAC0004,083024,2024,11,6.5,Y
IDCJAC0004,083024,2024,12,7.4,Y
IDCJAC0004,083024,2025,01,9.5,Y
IDCJAC0004,083024,2025,02,9.7,Y
IDCJAC0004,083024,2025,03,9.9,Y
IDCJAC0004,083024,2025,04,5.7,Y
IDCJAC0004,083024,2025,05,1.7,Y
IDCJAC0004,083024,2025,06,-1.8,Y
IDCJAC0004,083024,2025,07,-2.6,Y
IDCJAC0004,083024,2025,08,-1.4,Y
IDCJAC0004,083024,2025,09,-1.2,Y
IDCJAC0004,083024,2025,10,1,Y
IDCJAC0004,083024,2025,11,2.6,Y
IDCJAC0004,083024,2025,12,5.8,Y
IDCJAC0004,083024,2026,01,10.8,Y
IDCJAC0004,083024,2026,02,9.6,Y
